Article Title,Author,Journal Title,Publication Date,Publisher,Subjects,Keywords,text
‘Bereft of Friends’? China's Rise and Search for Political Partners in South America.,"Strüver, Georg",Chinese Journal of International Politics,14-Mar,Oxford University Press / USA,POWER (Social sciences); WORLD politics; INTERNATIONAL relations; CHINA -- Foreign economic relations; CHINA -- Politics & government,,"Within the scholarly debate on the current power transition in the international system, particular importance is attached to China’s economic rise and the global shifts it is bringing forth in material primacy. A thorough understanding of these shifts in the relative distribution of power, however, requires leaving the narrow path of material capabilities and looking at normative accounts as well. Taking up this challenge, the article focuses on the political dimension of China’s rise by exploring the country’s alignment with South American governments along two dimensions: the convergence of their foreign policy ideas and the provision of diplomatic links facilitating their cooperation and coordination in global politics. The empirical analysis depicts a nascent global agenda forming between China and certain South American countries and shows that, along with growing levels of foreign policy compatibility, China has also advanced its diplomatic inroads into the region, particularly at the level of bilateral relations. Taking these developments as a whole, it is suggested that China has gained international attraction in terms of its visions of global order and as a potential political partner throughout the region. The article concludes with a discussion of the findings in light of the ongoing relative shifts in the distribution of global power beyond material primacy, and the prospects for China’s further political rise. [ABSTRACT FROM AUTHOR] Copyright of Chinese Journal of International Politics is the property of Oxford University Press / USA and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
‘China in Africa’: From Under-researched to Under-theorised?,"A’Zami, Darius",Millennium (03058298),15-Jan,"Sage Publications, Ltd.",INTERNATIONAL relations; POLITICAL science -- Research; AFRICA-China relations; RESEARCH; EQUALITY research; CHINA -- Politics & government,China in Africa; China–Africa relations; international theory; unequal equals,"The literature on China–Africa relations is a rapidly developing field. However, whilst it is a much richer body of work now than it was a few years ago, it has been somewhat resistant to compelling theorisation. This claim is demonstrated via discussion of three recent contributions to this literature. The discussion develops a claim that a helpful problématique might be found by framing China–Africa relations as relations between ‘unequal equals’, a particular benefit of which is that it emphasises that China–Africa relations are, inter alia specifically international relations. Whilst rigorous theoretical work has already been done, the emphasis has been societal. In this sense, the unequal equals formulation amounts to a call for greater dialogue between social and internationally oriented disciplines to resolve the under-theorisation that afflicts the study of China–Africa relations. [ABSTRACT FROM PUBLISHER] Copyright of Millennium (03058298) is the property of Sage Publications, Ltd. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
‘China Threat’ and ‘China Opportunity’: Politics of Dreams and Fears in China-Central and Eastern European Relations § .,"Pavlićević, Dragan",Journal of Contemporary China,18-Sep,Taylor & Francis Ltd,"POLITICAL science; COLD War, 1945-1991; INTERNATIONAL relations; ECONOMIC development; CHINA; CHINA-European Union relations; TWENTY-first century",,"Development of ‘16 + 1’ framework substantially depends on how Central and Eastern European countries understand their fast-evolving relationship with China. This article investigates and analyses related perceptions and discusses their implications for ‘16 + 1’. Focusing on the Sino-Serbian relationship, the study reveals that the understanding of China and its growing involvement in the region oscillates between the extremes, yet that both positive and negative evaluations are not supported by the available empirical evidence and informed by a proper understanding of the context within which the relationship takes place. This is likely to result in a sense of disillusionment, as well as heightened concerns about the relationship with China, casting shadow over the prospects of the China-CEE relations. [ABSTRACT FROM AUTHOR] Copyright of Journal of Contemporary China is the property of Routledge and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
‘Donors go home’: non-traditional state actors and the creation of development space in Zambia.,"Kragelund, Peter",Third World Quarterly,14-Jan,Taylor & Francis Ltd,INTERNATIONAL economic assistance; ECONOMIC development; FOREIGN loans; HISTORY; INTERNATIONAL economic relations; ZAMBIA; FINANCE; ZAMBIA -- Politics & government; CHINA -- Foreign economic relations; INDIA -- Foreign economic relations; BRAZIL -- Foreign economic relations; TWENTY-first century,Africa; development finance.; development space; emerging donors; Zambia,"The international development arena is currently subject to major changes in the geographies of power. In this article I analyse how and to what extent the (re)entry on the development scene of China, India and Brazil, together with increasing prices for primary commodities and improved access to international finance, has affected Zambia’s political leverage to set, implement and fund its own developmental policies. I argue that, while real changes in external financial flows comparable to aid from these non-traditional state actors are still small, these actors’ experience is providing Zambia with an alternative development model that combines purposive state intervention with market-based economic growth and integration into world markets. While Zambia may be taking the first steps in strengthening its ‘sovereign frontier’, the extent of this movement is still small and its development outcomes are far from assured. [ABSTRACT FROM PUBLISHER] Copyright of Third World Quarterly is the property of Routledge and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
"‘New friends, easier partners and bigger brothers’: The influence of the emerging powers on agriculture and food security in Malawi.","De Bruyn, Tom",South African Journal of International Affairs,16-Mar,Taylor & Francis Ltd,INTERNATIONAL relations; INTERNATIONAL cooperation; FOOD security; MALAWI -- Foreign relations -- 1964-; MALAWI -- Politics & government -- 1994-,"agricultural assistance; Brazil, India, PR China, South Africa; emerging powers; Malawi; South–south cooperation","Emerging powers are credited with influencing development cooperation, but field-based studies incorporating the viewpoints of recipient developing country actors are scarce. This article analyses the presence and the material, ideational and institutional influence of assistance in agriculture and food security in Malawi by the governments of Brazil, India, China and South Africa. The findings suggest first that, despite a similar and powerful discourse linking these four states, in practice the emerging powers' approaches diverge to a large extent. Second, the material influence of these emerging powers is relatively limited and consequently so is their influence on Malawi's decision-making process with regard to development. Finally, perceptions about the emerging powers' potential contribution to addressing development challenges differ greatly between the Malawian government and the traditional donor community. This difference arises from limited coordination and cooperation on the one hand and the importance of ideational influence on the other. [ABSTRACT FROM AUTHOR] Copyright of South African Journal of International Affairs is the property of Routledge and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
‘Power Shift’ in East Asia? A Critical Reappraisal of Narratives on the Diaoyu/Senkaku Islands Incident in 2010†.,"Hagström, Linus",Chinese Journal of International Politics,12-Sep,Oxford University Press / USA,INTERNATIONAL relations; POLICY sciences; SOVEREIGNTY; SENKAKU Islands; CHINA; JAPAN; EAST Asia; CONSTRUCTIVISM (Philosophy),,"The article focuses on the power shift narrative in Sino-Japanese interaction regarding the Diaoyu/Senkaku Islands in 2010. It states that the notion showing the rising of China, the declining of Japan, and the power shift in East Asia is compatible with the epistemological core of constructivism. It also discusses bilateral relationship between China and Japan, Japanese policymaking, and sovereign competition on two parties."
‘Threatening’ China and US security: the international politics of identity.,"TURNER, OLIVER",Review of International Studies,13-Oct,Cambridge University Press,"NATIONAL security; THREATS; INTERNATIONAL relations; WORLD politics; COLD War, 1945-1991; HISTORY; UNITED States; IDENTITY (Philosophical concept); CHINA-United States relations",,"China's increasing capabilities are a central focus of modern day US security concerns. The International Relations literature is a key forum for analyses of the so-called ‘China threat’ and yet it remains relatively quiet on the role of ideas in the construction and perpetuation of the dangers that country is understood to present. This article reveals that throughout history ‘threats’ from China towards the United States, rather than objectively verifiable phenomena, have always been social constructions of American design and thus more than calculations of material forces. Specifically, it argues that powerful and pervasive American representations of China have been repeatedly and purposefully responsible for creating a threatening identity. It also demonstrates that these representations have enabled and justified US China policies which themselves have reaffirmed the identities of both China and the United States, protecting the latter when seemingly threatened by the former. Three case studies from across the full duration of Sino-American relations expose the centrality of ideas to historical and contemporary understandings of China ‘threats’, and to the American foreign policies formulated in response. [ABSTRACT FROM PUBLISHER] Copyright of Review of International Studies is the property of Cambridge University Press and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
"“Trouble Ahead in Afro-Asia”: The United States, the Second Bandung Conference, and the Struggle for the Third World, 1964–1965*.","Gettig, Eric",Diplomatic History,15-Jan,Oxford University Press / USA,"INTERNATIONAL relations; COLD War, 1945-1991; AFRO-Asian politics; HISTORY of diplomacy; INTERNATIONALISM; HISTORY; UNITED Nations; DEVELOPING countries -- Foreign relations; FOREIGN relations of the United States; CONGRESSES; VIETNAM War, 1961-1975; CHINA -- Politics & government -- 1949-1976; TWENTIETH century; JOHNSON, Lyndon B. (Lyndon Baines), 1908-1973; ZHOU, Enlai, 1898-1976",,"Focusing on the abortive Second Afro-Asian Conference of 1965, this article analyzes American efforts to shape the future of Third World internationalism during a critical period of transition in the history of the Third World project, of U.S. relations with the Third World, and of the global Cold War. [ABSTRACT FROM PUBLISHER] Copyright of Diplomatic History is the property of Oxford University Press / USA and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
2016: A PROMISING YEAR FOR CAMBODIA?,Thearith Leng,Southeast Asian Affairs,2017,ISEAS- Yusof Ishak Institute,ECONOMIC development; INTERNATIONAL relations; CAMBODIA; GANAPAKS Prajajan Kambuja; TEXTILE industry,,"The article explores economic growth in Cambodia under the rule of political party Cambodian People's Party (CPP), in which the CPP-led government's economic policy, and its foreign relation strategy with important partners are discussed. Topics discussed include the contribution of the shift into the export structure of the garment and textile industry to economic growth, the impact of domestic political shift on the economy, and its relations with China and Vietnam."
30 Years After Tiananmen: Dissent Is Not Dead.,"Economy, Elizabeth",Journal of Democracy,19-Apr,Johns Hopkins University Press,HUMAN rights; INTERNATIONAL relations; CHINESE Communist Party,,"In developments that form a stark contrast to the hopes that accompanied the Tiananmen Square demonstrations of thirty years ago, Xi Jinping's Chinese Communist Party regime has devised new ways to consolidate power and crackdown on dissent. Yet despite an ever-expanding surveillance apparatus and a burgeoning social-credit system, the political values and spirit of collective action embodied in the 1989 democracy movement have endured and even thrived. Indeed, while the Xi government may appear all-powerful, political fissures are widening, and there are many pockets of discontent. China may not appear to be moving on the right track-but we have not yet reached the end of Chinese history. [ABSTRACT FROM AUTHOR] Copyright of Journal of Democracy is the property of Johns Hopkins University Press and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
