Article Title,Author,Journal Title,Publisher,Subjects,Keywords,text
"(Mis)perceptions of Domestic Politics in the U.S.-China Rapprochement, 1969–1978.","Millwood, Pete",Diplomatic History,Oxford University Press / USA,"HISTORY; DIPLOMATIC history; DIPLOMACY; CHINA-United States relations; 20TH century; TWENTIETH century; WATERGATE Affair, 1972-1974; CHINA -- Politics & government -- 20th century; UNITED States -- Politics & government -- 20th century; NIXON, Richard M. (Richard Milhous), 1913-1994; MAO, Zedong, 1893-1976; KISSINGER, Henry, 1923-; BRZEZINSKI, Zbigniew, 1928-2017",,"The article discusses the influence of U.S. and Chinese domestic politics on U.S.-China diplomatic relations from 1969 to 1978. Topics explored include the political significance of the 1972 meeting between then U.S. President Richard Nixon and Chinese Communist Party Chairman Mao Zedong in China, the contributions of U.S. foreign policymakers Henry Kissinger and Zbigniew Brzezinski to Chinese domestic politics, the response of the Chinese government to the Watergate political scandal involving Nixon, and the offering of satellite intelligence assistance to China by Kissinger to demonstrate his commitment to the U.S.-China rapprochement process."
30 Years After Tiananmen: Dissent Is Not Dead.,"Economy, Elizabeth",Journal of Democracy,Johns Hopkins University Press,HUMAN rights; INTERNATIONAL relations; CHINESE Communist Party,,"In developments that form a stark contrast to the hopes that accompanied the Tiananmen Square demonstrations of thirty years ago, Xi Jinping's Chinese Communist Party regime has devised new ways to consolidate power and crackdown on dissent. Yet despite an ever-expanding surveillance apparatus and a burgeoning social-credit system, the political values and spirit of collective action embodied in the 1989 democracy movement have endured and even thrived. Indeed, while the Xi government may appear all-powerful, political fissures are widening, and there are many pockets of discontent. China may not appear to be moving on the right track-but we have not yet reached the end of Chinese history."
30 Years After Tiananmen: Hong Kong Remembers.,"Tai, Benny",Journal of Democracy,Johns Hopkins University Press,DEMONSTRATIONS (Collective behavior); CHINESE Communist Party; GOING public (Securities),,"The three landmark events in Hong Kong's ongoing struggle for democracy over the past thirty years were directly or indirectly connected with the Tiananmen Square protests of 1989. Inspired by the sacrifices of the students and citizens in Beijing, Hong Kong people continue to strive to establish a democratic system to defend Hong Kong's way of life against interference by the Chinese Communist Party. The souls of Tiananmen Square have not left Hong Kong, and Hong Kong's persistent struggle for democracy may have preserved the seeds ofchange in China."
30 Years After Tiananmen: Memory in the Era of Xi Jinping.,"Tiffert, Glenn",Journal of Democracy,Johns Hopkins University Press,"INTERNATIONAL relations; CHINESE Communist Party; XI, Jinping, 1953-",,"The Chinese Communist Party allows no public commemoration of the protest movement that it violently crushed in the vicinity of Tiananmen Square in 1989, but its private reckoning with that tragedy has never mattered more. President Xi Jinping has quietly taken Tiananmen as a guiding light, reading it as a cautionary tale of regime decay and a playbook for revival. This view has inspired his campaigns to tackle corruption, restore ideological discipline, and reclaim control over history. And the most lasting contribution of all to Xi's tenure may be the selective rehabilitation of traditional Chinese culture as a source of political legitimacy."
30 Years After Tiananmen: The Meaning of June 4th.,"Dan, Wang",Journal of Democracy,Johns Hopkins University Press,INTERNATIONAL relations; POLITICAL participation; CHINESE Communist Party,,"The 1989 democracy movement and its suppression marked a watershed in China's contemporary history. The movement has influenced China's subsequent development in at least three major ways. First, it was an enlightenment movement that spread the concept of democracy far and wide. Second, it played a vital role in grooming talent for the development of China's civil society and the next wave of prodemocracy activism. Third, it laid a foundation for democratization in China's political culture and popular mindsets. At the same time, the movement's violent suppression left a legacy of fear and has led to the elevation of economic over social goals; a general attitude of defeatism; and a profound deterioration in social morality and ethics"
30 Years After Tiananmen: The Young and the Restless.,"Gilley, Bruce",Journal of Democracy,Johns Hopkins University Press,DEMOCRATIZATION; POLITICAL participation; CHINESE Communist Party,,"China's ruling Communist Party is admired by specialists for its seeming ability to deliver all kinds of things without democracy-elite stability, good governance, legitimacy, capitalist growth, and a middle class. But in all these areas, durable achievements have proven elusive. A president for life, worsening governance, and ticking time bombs of slow growth and fiscal deficits threaten stability. The balance of forces still favors the status quo, but the regime worries about a tilt in the odds. Outside of top cities, meanwhile, China's growing ranks of disgruntled single males are slipping from the control of the Party's social-monitoring system."
"A Brave New World, or the Same Old Story with New Characters?","Ghosh, Jayati",Development & Change,Wiley-Blackwell,CAPITALISM; IMPERIALISM; ECONOMIC policy; BILATERAL treaties; INTERNATIONAL economic relations; CHINA; 2000-,,"Capitalism has always been a global system, but not in fixed ways. Different national powers have emerged and become dominant over the centuries, but the fundamental processes underlying the uneven development of global capitalism have not altered; they continue to be driven by imperialism — the struggle of large capital over economic territory of various kinds. Since the late 1960s, only the East Asian region has shown notable increases in its share of global GDP, and for the last two decades this has been dominated by the rise of China. This is directly related to the ability of the Chinese state to control the economy and to implement heterodox policies with very high investment rates. However, the Chinese case is exceptional: few other developing countries have followed a trajectory anything like that of China. Meanwhile, internal inequalities have increased across the world, as the bargaining power of capital vis‐à‐vis labour has increased dramatically in every country. This reflects the changed form of 21st century imperialism, which relies increasingly on the international legal and regulatory architecture as fortified by various multilateral, plurilateral and bilateral agreements that establish the hegemony of global capital in different ways."
A Cautionary report: resilience of the U.S.–ROK Alliance During the Pro–North Korea Engagement Era of Progressive rule in South Korea.,"Shin, David",North Korean Review,"McFarland & Company, Inc.",POLITICAL parties; SOUTH Korea; BETROTHAL; CHRONOLOGY; SUNSHINE,China factor; impeachment; North Korea policy; North Korean threat; progressive rule; Sunshine Policy; U.S.–ROK alliance; U.S.–ROK–Japan relations; wartime OPCON,"Purpose—Many believe progressive rule in South Korea, symbolized by its pro-engagement policy with Pyongyang, means weakening of the U.S.–ROK alliance. This study aims to demonstrate the resilience of the alliance even during progressive rule. Design/Methodology/Approach—The study uses a combination of observation and informal interviews as a U.S. military attaché and staff officer to identify key factors that weakened the U.S.–ROK alliance during the progressive Sunshine Policy era of Kim Dae-jung/roo Moo-hyun and examines the current state of the alliance under Moon Jae-in’s progressive rule. Findings—overall, despite the many challenges of maintaining the U.S.–ROK alliance during periods of progressive rule in South Korea, Seoul and Washington have effectively managed to accommodate each other’s interests to maintain a strong alliance. Practical Implications—observers should not expect the weakening of the U.S.–ROK alliance simply because of progressive rule in South Korea. Seoul and Washington can and have previously worked together during progressive rule to maintain and strengthen the alliance. Originality/Value—This is one of the few studies that warns against simplistic interpretations of U.S.–ROK relations during progressive rule in South Korea and emphasizes that the resilience of the U.S.–ROK alliance goes beyond party politics in Seoul (and Washington). More importantly, Americans should not assume that the election of a progressive ruler in South Korea is necessarily a prelude to anti–U.S. politics in Seoul."
A China-Russia Condominium over Eurasia.,"Rolland, Nadège",Survival (00396338),Taylor & Francis Ltd,CONDOMINIUM (International law); EURASIA; CHINA-Russia relations,,China and Russia share similar views of what a future Eurasian order should look like.
A Chinese Perspective on US Alliances.,"Xiaokun, Sun",Survival (00396338),Taylor & Francis Ltd,"IDENTITY politics; REARMAMENT; COST shifting; FOREIGN relations of the United States; WALT, Stephen",,"If the US alliance system in the Asia-Pacific endures the current divergence of strategic aims and national identities, it will do so under enormous stress."
